Centro,Direccion,Municipio,CP,Provincio,Familia,Modalidad,Especialidad
ESCUELA FAMILIAR AGRARIA LA CASAGRANDE,CTRA. ENTRERRIOS, S/N,VALDIVIA,06720,BADAJOZ,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Recursos Naturales y Paisajísticos
IES FELANITX,CARRETERA DE PETRA, S/N,FELANITX,07200,ILLES BALEARS,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Recursos Naturales y Paisajísticos
CENTRE INTEGRAT DE FORMACIÓ PROFESSIONAL JOAN TAIX,SAGASTA, S/N,POBLA (SA),07420,ILLES BALEARS,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Recursos Naturales y Paisajísticos
C.DE CAPACITACION Y EXPER.AGRARIAS,CTRA. JARANDILLA 6,NAVALMORAL DE LA MATA,10300,CÁCERES,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Recursos Naturales y Paisajísticos
,C/ GERARDO MOLINA, S/N,TORRE-PACHECO,30700,MURCIA,ACTIVIDADES AGRARIAS,Diurno,Gestión y Organización de Recursos Naturales y Paisajísticos
SANTA GEMA GALGANI,CALLE de Escalona 59,MADRID,28024,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Animación de Actividades Físicas y Deportivas
GUZMAN EL BUENO,CALLE de Eugenio Salazar 15,MADRID,28002,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Animación de Actividades Físicas y Deportivas
CENTRO DE ESTUDIOS TECNOLOGICOS Y SOCIALES FRANCISCO DE VITORIA,CTRA Pozuelo Majadahonda K1,8,POZUELO DE ALARCON,28223,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Animación de Actividades Físicas y Deportivas
COLEGIO VALLE DEL MIRO,CALLE de Clara Campoamor 2,VALDEMORO,28342,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Animación de Actividades Físicas y Deportivas
CENTRO DE F.P. ALFONSO X EL SABIO,AVDA Universidad 1,VILLANUEVA DE LA CAÑADA,28691,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Animación de Actividades Físicas y Deportivas
TONY GALLARDO,CTRA. GENERAL DE LAS COLORADAS, Nº 1,PALMAS DE GRAN CANARIA (LAS),35009,LAS PALMAS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Animación de Actividades Físicas y Deportivas
ICSE,C/ LEÓN Y CASTILLO, 116 Y C/ LUIS DORESTE SILVA, 11,PALMAS DE GRAN CANARIA (LAS),35004,LAS PALMAS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Animación de Actividades Físicas y Deportivas
INSTITUTO CANARIO SUPERIOR DE ESTUDIOS, ICSE-LAS PALMAS,C/ LEÓN Y CASTILLO, 116 Y C/ LUIS DORESTE SILVA, 11,PALMAS DE GRAN CANARIA (LAS),35004,LAS PALMAS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Animación de Actividades Físicas y Deportivas
Alminar,Ronda de Altair, 2. Urb. La Motilla,DOS HERMANAS,41703,SEVILLA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Animación de Actividades Físicas y Deportivas
EBORA FORMACIÓN,LG. PARCELA 1, SECTOR 7,CAZALEGAS,45683,TOLEDO,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Animación de Actividades Físicas y Deportivas
EBORA FORMACIÓN,LG. PARCELA 1, SECTOR 7,CAZALEGAS,45683,TOLEDO,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Enseñanza y animación sociodeportiva
CPA-SALDUIE,AVDA. RAMÓN SAÍNZ DE VARANDA, 1-3,ZARAGOZA,50009,ZARAGOZA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Distancia,Enseñanza y animación sociodeportiva
AZUER,CR. DE LA SOLANA, 77,MANZANARES,13200,CIUDAD REAL,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
ALEJO VERA,CL. CASTILLA, S/N,MARCHAMALO,19180,GUADALAJARA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
CLARA CAMPOAMOR,CL. DON QUIJOTE, 3,YUNQUERA DE HENARES,19210,GUADALAJARA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
UNI EIBAR- ERMUA,Otaola 29,EIBAR,20600,GIPUZKOA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
POLITECNICO EASO POLITEKNIKOA,Aitzol 2,DONOSTIA/SAN SEBASTIÁN,20011,GIPUZKOA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
ANTONIO MACHADO,CALLE Alalpardo s/n,ALCALA DE HENARES,28806,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
LUIS VIVES,PASEO de la Ermita 15,LEGANES,28918,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
ORTEGA Y GASSET,CALLE SANTA FE 4,MADRID,28008,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
VIRGEN DE LA PALOMA,CALLE de Francos Rodríguez 106,MADRID,28039,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
CIUDAD ESCOLAR,CTRA de Colmenar Viejo k12,8,MADRID,28049,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
LOS CASTILLOS,AVDA de los Castillos 5,ALCORCON,28925,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
ROSA CHACEL,CALLE de Abizanda 70,MADRID,28033,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
VIRGEN DE LA PAZ,CALLE de Francisco Chico Mendes 4,ALCOBENDAS,28108,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
CARLOS BOUSOÑO,CALLE Pinos 10,MAJADAHONDA,28221,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
JIMENA MENENDEZ PIDAL,CMNO del Molino 3,FUENLABRADA,28942,MADRID,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
ETI,AVDA. TARAZONA, SN,TUDELA,31500,NAVARRA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
DOLORES IBARRURI,El Minero 28,GALLARTA,48500,BIZKAIA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno, Acondicionamiento físico
URKIDE,Magdalena 8,VITORIA-GASTEIZ,01008,ARABA/ÁLAVA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MENDIZABALA,Portal de Lasarte 23,VITORIA-GASTEIZ,01007,ARABA/ÁLAVA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
KOLDO MITXELENA,Behenafarroa 1,VITORIA-GASTEIZ,01002,ARABA/ÁLAVA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
AL-BASIT,AV. DE ESPAÑA, 42,ALBACETE,02006,ALBACETE,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LOPE DE VEGA,AV DEL DOCTOR SEVERO OCHOA 9,BENIDORM,03503,ALICANTE/ALACANT,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
HISTORIADOR CHABÀS,CL MANUEL VALLALTA 3,DENIA,03700,ALICANTE/ALACANT,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MONASTIL,CL SÉNECA 3,ELDA,03600,ALICANTE/ALACANT,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MONTSERRAT ROIG,CL CARLET 2,ELCHE/ELX,03206,ALICANTE/ALACANT,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
8 DE MARZO,CL CIUDAD DE MATANZAS S/N,ALICANTE/ALACANT,03005,ALICANTE/ALACANT,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
HAYGÓN,AV HAYGÓN 50,SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,03690,ALICANTE/ALACANT,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LA CREUETA,AV DE LA CONSTITUCIÓN S/N,ONIL,03430,ALICANTE/ALACANT,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MARE NOSTRUM,CL DELFINA VIUDES S/N,TORREVIEJA,03183,ALICANTE/ALACANT,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
EL VALLE,AV CONDOMINA 65,ALICANTE/ALACANT,03540,ALICANTE/ALACANT,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LA DEVESA,CL MALLORCA 6,ELCHE/ELX,03203,ALICANTE/ALACANT,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Abdera,Marisma, 6,ADRA,04770,ALMERÍA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Compañía de María, Obispo Orbera, 35,ALMERIA,04001,ALMERÍA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Valdeserra,Alhambra nº 2. Ctra. de Vera a Garrucha,VERA,04621,ALMERÍA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
UDS Almería,Cabo de Gata 36,ALMERIA,04007,ALMERÍA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Iundenia Huércal-Overa,Guillermo Reyna, 9,HUERCAL-OVERA,04600,ALMERÍA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Portocarrero,Violeta, s/n,CAMPILLO DEL MORO,04720,ALMERÍA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Colegio Internacional Sek-Alborán,Almerimar II,EJIDO (EL),04700,ALMERÍA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Sol de Portocarrero,de Níjar, Km 7,CAÑADA DE SAN URBANO (LA),04120,ALMERÍA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
DE AVILA,C/ GIACOMO PUCCINI, Nº 2,AVILA,05003,ÁVILA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SANTIAGO APOSTOL,ORTEGA MUÑOZ, S/N,ALMENDRALEJO,06200,BADAJOZ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ZURBARAN,AV.DE HUELVA,3,BADAJOZ,06005,BADAJOZ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
IES PUERTA DE LA SERENA,ANTONIO NEBRIJA, 8,VILLANUEVA DE LA SERENA,06700,BADAJOZ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SANT ALFONS,ZAVELLA, 1,FELANITX,07200,ILLES BALEARS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
LA SALLE,CAMÍ DE SON RAPINYA, 29,VILETA (SA),07013,ILLES BALEARS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
GUILLEM CIFRE DE COLONYA,MARE ALBERTA, S/N,POLLENÇA,07460,ILLES BALEARS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SON RULLAN,ARQUEBISBE MIQUEL ROCA, 10,PALMA,07009,ILLES BALEARS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ALGARB,CTRA. AEROPORT, KM. 3,SANT JORDI DE SES SALINES,07817,ILLES BALEARS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CAP DE LLEVANT,FRANCESC F. ANDREU, 2,MAO,07703,ILLES BALEARS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
BENDINAT,ARQUITECTE FRANCESC CASAS, 13,CASTELL DE BENDINAT,07181,ILLES BALEARS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ACADEMIA FLEMING,CAMÍ DE JESÚS, 15,PALMA,07003,ILLES BALEARS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CENTRE TECNIFICACIÓ ESPORTIVA ILLES BALEARS,GREMI FONERS, 4,PALMA,07009,ILLES BALEARS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Mare de Déu de la Mercè,c. Motors, 122-130,BARCELONA,08040,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Taulé Viñas,Via Massagué 85,SABADELL,08201,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
AA Eurofitness Edu,c. Perill, 16-22,BARCELONA,08012,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Formatic Barna,pg. de Gràcia,71, pral,BARCELONA,08008,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Forma't,c. Vilardell, 38,BARCELONA,08014,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Les Salines,av. 11 de setembre, 36,PRAT DE LLOBREGAT (EL),08820,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Barcelona Vitae Sant Andreu,rbla. Fabra i Puig, 45,BARCELONA,08030,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Vitae Campus,Campus de la UAB, Edifici SAF 3,CERDANYOLA DEL VALLES,08193,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Vitae Terrassa,c. Mare de Déu dels Àngels, 90,TERRASSA,08221,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CET10 - Centre de Formació,c. Agricultura, 232,BARCELONA,08020,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
AAFE Olimpia,Moll de Gregal, s/n,BARCELONA,08005,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Euses Formació,c. Can Tries, 20-24,HOSPITALET DE LLOBREGAT (L'),08902,BARCELONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SANTA CATALINA,CALLE MONTELATORRE, 11,ARANDA DE DUERO,09400,BURGOS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ISABEL I FP,C/ FERNÁN GONZÁLEZ, Nº 76,BURGOS,09003,BURGOS,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
AL-QAZERES,CERVANTES,S/N,CACERES,10005,CÁCERES,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
PARQUE DE MONFRAGUE,AV.DE EXTREMADURA,S/N,PLASENCIA,10600,CÁCERES,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Los Pinos,Tamarindo, s/n.,ALGECIRAS,11205,CÁDIZ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Mar de Cádiz,Rafael Alberti, s/n,PUERTO DE SANTA MARIA (EL),11500,CÁDIZ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Las Salinas,Al-Andalus, s/n,SAN FERNANDO,11100,CÁDIZ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
DXT El Puerto,Tren de Rota, local 14,PUERTO DE SANTA MARIA (EL),11500,CÁDIZ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Escuela Deporte Cádiz,Andalucía, 82,CADIZ,11008,CÁDIZ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Seritium,Amsterdam, s/n,JEREZ DE LA FRONTERA,11406,CÁDIZ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
MIRALCAMP,CM DEL MIRALCAMP 126,VILLARREAL,12540,CASTELLÓN/CASTELLÓ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
VIOLANT DE CASALDUCH,AV DE CASTELLÓN S/N,BENICASIM,12560,CASTELLÓN/CASTELLÓ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
INSTEDE CASTELLÓN FP,CL RIBESALBES (COMPLEX GAETÀ HUGUET) S/N,CASTELLON DE LA PLANA,12006,CASTELLÓN/CASTELLÓ,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
JUAN BOSCO,AV. DE LOS INSTITUTOS,  S/N,ALCAZAR DE SAN JUAN,13600,CIUDAD REAL,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
VIRGEN DE GRACIA,PS. SAN GREGORIO, 82,PUERTOLLANO,13500,CIUDAD REAL,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
AZUER,CR. DE LA SOLANA, 77,MANZANARES,13200,CIUDAD REAL,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
HERNÁN PÉREZ DEL PULGAR,CL. GREGORIO MARAÑON, 2,CIUDAD REAL,13002,CIUDAD REAL,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Torrealba,de Palma del Río, Km. 21,ALMODOVAR DEL RIO,14720,CÓRDOBA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Luis Carrillo de Sotomayor,San Carlos de Chile, s/n,BAENA,14850,CÓRDOBA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
López Neyra,del Mediterráneo, s/n,CORDOBA,14011,CÓRDOBA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Emilio Canalejo Olmeda,del Trabajo, 24,MONTILLA,14550,CÓRDOBA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Trinidad,Pepe Espaliú s/n,CORDOBA,14004,CÓRDOBA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Escuela del Deporte Córdoba,Santo Domingo Savio, 2,CORDOBA,14002,CÓRDOBA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Centro de estudios Internacionales Tartessos,San Juan Bautista de la Salle, 7,CORDOBA,14012,CÓRDOBA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Liceo La Paz,AV/Sebastián Matínez Risco 12,CORUÑA (A),15009,A CORUÑA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Agra do Orzán,RU/Alcalde Liaño Flores s/n,CORUÑA (A),15010,A CORUÑA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Universidade Laboral,RU/Salvador Allende,BURGO (O),15670,A CORUÑA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Rodolfo Ucha Piñeiro,AV/Castelao, 64 (Caranza),FERROL,15406,A CORUÑA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Rosalía de Castro,RU/San Clemente 3,SANTIAGO DE COMPOSTELA,15705,A CORUÑA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Santa Apolonia,RU/Poza Real 5,ROCHA VELLA (A),15899,A CORUÑA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
SANTIAGO GRISOLÍA,AV. DEL MEDITERRANEO, 4,CUENCA,16004,CUENCA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Escola Pia d'Olot,pl. Clarà, 9,OLOT,17800,GIRONA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Abenamar,Andrés Segovia, 127,CHURRIANA DE LA VEGA,18194,GRANADA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
El Soto,de los Diecinueve, s/n,CHAUCHINA,18330,GRANADA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Politécnico Hermenegildo Lanz,Albondón, 7,GRANADA,18003,GRANADA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Centro de Estudios Jurídicos Granada II,Gran Capitán, 14,GRANADA,18002,GRANADA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Centro de Estudios Jurídicos Granada III,Músico Vicente Zarzo s/n,GRANADA,18000,GRANADA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Centro de Formación Internacional Reina Isabel,Federico García Lorca s/n,GRANADA,18014,GRANADA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
UDS Granada,Pintor Fernando Belda, s/n,GRANADA,18015,GRANADA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Alcazaba Superior,Virgen Blanca, 25,GRANADA,18004,GRANADA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
María Nebrera,Ojos del Salado, 8,GRANADA,18008,GRANADA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
José Martín Recuerda,Neptuno, s/n,MOTRIL,18600,GRANADA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
Montevives,Haití, s/n,GABIA GRANDE,18110,GRANADA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
CARDENAL CISNEROS,CL. DONANTE DE SANGRE, 1,GUADALAJARA,19002,GUADALAJARA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO EPISCOPAL SAGRADA FAMILIA,CL. VILLAVICIOSA, 2 Y Pº DE LA ALAMEDA, 36,SIGUENZA,19250,GUADALAJARA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
ANA MARÍA MATUTE,AV. GUADALAJARA, S/N,CABANILLAS DEL CAMPO,19171,GUADALAJARA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
COLEGIO MONTEALBIR,UR. LOS ARENALES DE EL CASAR,ARENALES (LOS),19170,GUADALAJARA,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Diurno,Animación de Actividades Físicas y Deportivas
